Offense,Category,Year,Time of Day,Occurred DateTime,Report DateTime,Location Type,Census Block Group,Latitude,Longitude,APD Sector,APD District,Council District
DWI,traffic,2016,Night,2016-07-10 22:50:00,2016-07-10 22:50:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530015033.0,30.3278956,-97.7196904,Ida,6,4
THEFT,theft,2004,Night,2004-09-16 01:22:00,2004-09-16 01:22:00,CONVENIENCE STORE,4530003021.0,30.299731,-97.7195388,Baker,3,9
BURGLARY OF VEHICLE,theft,2009,Evening,2009-06-23 18:00:00,2009-06-24 10:39:00,RESIDENCE / HOME,4530330002.0,30.2405798,-97.8993997,David,6,8
BURGLARY OF VEHICLE,theft,2015,Evening,2015-02-05 18:45:00,2015-02-06 09:32:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530005002.0,30.2975252,-97.7329994,Baker,1,9
POSSESSION OF MARIJUANA,drugs,2017,Afternoon,2017-10-07 16:57:00,2017-10-07 16:57:00,OTHER / UNKNOWN,4530024512.0,30.157356,-97.7832595,Frank,7,5
BURGLARY OF VEHICLE,theft,2009,Evening,2009-05-04 19:30:00,2009-05-05 15:41:00,RESIDENCE / HOME,4530347002.0,30.2227777,-97.8814398,David,6,8
PROSTITUTION,prostitution,2012,Afternoon,2012-01-25 16:12:00,2012-01-25 16:12:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021101.0,30.2689593,-97.6846525,Charlie,5,3
BURGLARY OF VEHICLE,theft,2023,Night,2023-07-22 00:00:00,2023-07-24 09:10:00,PARKING /DROP LOT/ GARAGE,4530015032.0,30.3355469,-97.7153918,Ida,8,4
THEFT,theft,2011,Evening,2011-10-25 19:00:00,2011-10-26 09:18:00,CONSTRUCTION SITE,4530022211.0,30.3203582,-97.6171415,Charlie,7,1
TERRORISTIC THREAT,terrorism,2008,Night,2008-01-02 01:05:00,2008-01-02 01:05:00,RESIDENCE / HOME,4530434001.0,30.3284539,-97.699033,Ida,1,4
THEFT,theft,2006,Afternoon,2006-05-05 15:47:00,2006-05-05 15:47:00,RESIDENCE / HOME,4530309003.0,30.2022141,-97.8159746,Frank,1,5
BURGLARY OF RESIDENCE,burglary,2018,Night,2018-09-08 02:30:00,2018-09-17 19:26:00,RESIDENCE / HOME,4530318001.0,30.1805383,-97.8268555,Frank,1,5
ASSAULT BY CONTACT,assault,2011,Night,2011-09-03 22:30:00,2011-09-04 04:57:00,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,4530002031.0,30.3080669,-97.7379856,Baker,5,9
DATING DISTURBANCE,disturbance,2021,Morning,2021-02-09 06:16:00,2021-02-09 06:16:00,RESIDENCE / HOME,4530346001.0,30.4228764,-97.8312572,Adam,8,10
VIOL CITY ORDINANCE - OTHER,ordinance,2016,Morning,2016-04-13 09:30:00,2016-04-13 09:30:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,,,,David,3,5
FAILURE TO REG AS SEX OFFENDER,sexual,2012,Afternoon,2012-04-26 14:51:00,2012-04-26 14:51:00,RESIDENCE / HOME,4530011011.0,30.2696516,-97.7375527,George,2,9
FAMILY DISTURBANCE,family,2020,Night,2020-09-22 22:30:00,2020-09-22 22:45:00,RESIDENCE / HOME,4530003053.0,30.3190733,-97.7256729,Ida,6,9
BURGLARY OF RESIDENCE,burglary,2008,Morning,2008-03-06 09:00:00,2008-03-06 18:14:00,RESIDENCE / HOME,4530020041.0,30.232703,-97.7888007,David,4,5
POSSESSION OF MARIJUANA,drugs,2009,Night,2009-12-10 23:08:00,2009-12-10 23:08:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011012.0,30.2723402,-97.7466337,George,1,9
BURGLARY NON RESIDENCE,burglary,2011,Morning,2011-03-10 08:49:00,2011-03-10 11:17:00,RESIDENCE / HOME,4530003071.0,30.2970325,-97.7125652,Charlie,3,9
THEFT,theft,2022,Evening,2022-01-15 17:30:00,2022-01-25 08:55:00,CONVENIENCE STORE,4530025002.0,30.4210139,-97.7533129,Adam,2,10
ASSAULT WITH INJURY,assault,2008,Afternoon,2008-04-08 16:29:00,2008-04-08 16:29:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024481.0,30.2112517,-97.6982295,Henry,6,2
THEFT BY SHOPLIFTING,theft,2018,Afternoon,2018-09-20 14:45:00,2018-09-20 14:50:00,DEPARTMENT / DISCOUNT STORE,4530403003.0,30.3412558,-97.6916723,Ida,2,4
THEFT,theft,2020,Evening,2020-08-28 17:30:00,2020-08-31 14:25:00,RESIDENCE / HOME,4530023041.0,30.2442403,-97.7278838,Henry,2,3
ASSAULT BY CONTACT,assault,2008,Morning,2008-02-07 11:45:00,2008-02-07 15:18:00,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,4530002031.0,30.3080669,-97.7379856,Baker,5,9
BURGLARY OF VEHICLE,theft,2016,Afternoon,2016-09-28 15:30:00,2016-09-28 17:49:00,PARKING /DROP LOT/ GARAGE,4530300001.0,30.3713689,-97.7789431,Baker,8,10
VIOL CITY ORDINANCE - DOG,animal,2007,Afternoon,2007-01-27 15:00:00,2007-01-27 15:00:00,GOVERNMENT / PUBLIC BUILDING,,,,David,D,5
CRED CARD ABUSE - OTHER,fraud,2009,Afternoon,2009-07-10 12:00:00,2009-07-14 18:35:00,COMMERCIAL / OFFICE BUILDING,4530348001.0,30.2051118,-97.8668929,David,7,8
BURGLARY OF RESIDENCE,burglary,2007,Evening,2007-08-30 19:36:00,2007-08-30 21:59:00,RESIDENCE / HOME,4530317001.0,30.1831802,-97.8330729,Frank,1,5
LITTERING,nuisance,2010,Afternoon,2010-09-19 14:03:00,2010-09-19 14:03:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,,,,Frank,1,5
CRIMINAL MISCHIEF,property,2007,Evening,2007-10-31 20:00:00,2007-11-01 10:02:00,PARKING /DROP LOT/ GARAGE,4530006072.0,30.2867081,-97.7463836,Baker,2,9
BURGLARY OF VEHICLE,theft,2017,Afternoon,2017-06-26 16:00:00,2017-06-26 18:24:00,OTHER / UNKNOWN,4530011012.0,30.2723402,-97.7466337,George,1,9
CRIMINAL MISCHIEF,property,2008,Night,2008-07-22 02:00:00,2008-07-22 08:58:00,RESIDENCE / HOME,4530431001.0,30.3581886,-97.694045,Edward,1,4
LITTERING,nuisance,2007,Afternoon,2007-02-11 12:18:00,2007-02-11 12:28:00,RESIDENCE / HOME,4530024093.0,30.2032719,-97.7942807,Frank,4,2
THEFT FROM AUTO,theft,2008,Night,2008-04-13 00:58:00,2008-04-13 03:28:00,PARKING /DROP LOT/ GARAGE,4530024441.0,30.2106314,-97.7759052,David,3,3
CRIMINAL MISCHIEF,property,2022,Afternoon,2022-02-21 13:41:00,2022-02-21 13:41:00,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,4530024091.0,30.2113986,-97.7911147,Frank,4,2
THEFT,theft,2016,Morning,2016-06-28 08:27:00,2016-06-28 11:02:00,CONVENIENCE STORE,4530023161.0,30.2390961,-97.7290694,Henry,2,3
BURGLARY OF VEHICLE,theft,2007,Evening,2007-01-19 19:00:00,2007-01-20 11:58:00,PARKING /DROP LOT/ GARAGE,4530004012.0,30.2933071,-97.7248275,Baker,1,9
BURGLARY OF VEHICLE,theft,2016,Night,2016-07-24 03:30:00,2016-07-24 04:01:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
FORGERY AND PASSING,fraud,2024,Afternoon,2024-06-20 12:00:00,2024-09-30 11:55:00,COMMERCIAL / OFFICE BUILDING,4530024031.0,30.2139103,-97.7609197,David,3,3
THEFT CATALYTIC CONVERTER,theft,2023,Morning,2023-01-24 06:00:00,2023-02-10 14:02:00,PARKING /DROP LOT/ GARAGE,4530021052.0,30.3167562,-97.7105296,Ida,6,4
BURGLARY OF VEHICLE,theft,2009,Morning,2009-11-18 08:40:00,2009-11-18 12:45:00,PARKING /DROP LOT/ GARAGE,4530001021.0,30.3342867,-97.7695659,Baker,7,10
FORGERY AND PASSING,fraud,2018,Morning,2018-01-16 11:09:00,2018-09-28 11:09:00,BANK / SAVINGS & LOAN,4530009022.0,30.2570243,-97.7106188,Charlie,1,3
DWI,traffic,2014,Night,2014-01-18 02:15:00,2014-01-18 04:18:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009012.0,30.2664785,-97.7273353,Charlie,2,1
AUTO THEFT,theft,2021,Morning,2021-06-28 08:00:00,2021-06-28 12:33:00,PARKING /DROP LOT/ GARAGE,4530002041.0,30.3003039,-97.7429433,Baker,3,9
FELONY ENHANCEMENT/ASSLT W/INJ,aggravated assault,2010,Night,2010-03-16 01:01:00,2010-03-16 01:01:00,RESIDENCE / HOME,4530013121.0,30.2460782,-97.7620349,David,1,3
EVADING / FOOT,obstruction,2005,Night,2005-01-05 23:15:00,2005-01-05 23:15:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024131.0,30.1972215,-97.7422286,Frank,5,2
DISTURBANCE - OTHER,disturbance,2010,Afternoon,2010-06-29 13:21:00,2010-06-29 13:21:00,RESIDENCE / HOME,4530024391.0,30.1636745,-97.7542523,Frank,7,2
CRIMINAL MISCHIEF,property,2021,Night,2021-04-24 00:00:00,2021-04-24 00:00:00,RESIDENCE / HOME,4530432002.0,30.3473691,-97.699134,Edward,1,4
DWI 2ND,traffic,2019,Morning,2019-05-27 06:10:00,2019-05-27 06:10:00,RESTAURANT,4530006061.0,30.2943811,-97.74318,Baker,1,9
BURGLARY OF RESIDENCE,burglary,2009,Afternoon,2009-08-07 12:00:00,2009-08-08 20:38:00,RESIDENCE / HOME,4530020062.0,30.2350232,-97.7761059,David,2,3
CAMPING IN PARK,nuisance,2009,Morning,2009-09-26 09:25:00,2009-09-26 09:25:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530403004.0,30.3533277,-97.6888401,Edward,7,4
THEFT,theft,2018,Night,2018-07-14 23:03:00,2018-07-14 23:03:00,DEPARTMENT / DISCOUNT STORE,4530421003.0,30.41657,-97.6762212,Edward,4,7
CRUELTY TO ANIMALS,animal,2015,Night,2015-03-11 02:30:00,2015-03-11 02:30:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024442.0,30.2025119,-97.7798612,Frank,4,2
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2003,Night,2003-09-07 21:09:00,2003-09-07 22:39:00,RESIDENCE / HOME,4530023272.0,30.237592,-97.7126238,Henry,3,3
WARRANT ARREST NON TRAFFIC,court,2013,Evening,2013-03-30 18:33:00,2013-03-30 18:33:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530002041.0,30.3003039,-97.7429433,Baker,3,9
FAMILY DISTURBANCE,family,2010,Night,2010-02-09 22:32:00,2010-02-09 22:32:00,RESIDENCE / HOME,4530023254.0,30.2323182,-97.7143954,Henry,3,3
AUTO THEFT,theft,2004,Night,2004-09-12 21:00:00,2004-09-13 09:13:00,RESIDENCE / HOME,4530403003.0,30.3412558,-97.6916723,Edward,3,4
DWI,traffic,2011,Night,2011-09-01 03:17:00,2011-09-01 03:17:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530003071.0,30.2970325,-97.7125652,Baker,5,9
FAMILY DISTURBANCE,family,2011,Night,2011-09-29 00:15:00,2011-09-29 00:15:00,RESIDENCE / HOME,4530021093.0,30.2830113,-97.679436,Charlie,4,1
BURGLARY OF RESIDENCE,burglary,2005,Night,2005-07-15 23:30:00,2005-07-16 03:29:00,RESIDENCE / HOME,4530409004.0,30.369921,-97.7015678,Edward,1,4
ROBBERY BY ASSAULT,robbery,2005,Night,2005-05-20 01:00:00,2005-05-20 11:22:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,1,9
BURGLARY OF VEHICLE,theft,2005,Afternoon,2005-07-12 13:00:00,2005-07-13 10:44:00,PARKING /DROP LOT/ GARAGE,4530011011.0,30.2696516,-97.7375527,Baker,1,9
FAMILY DISTURBANCE,family,2013,Evening,2013-12-03 18:29:00,2013-12-03 18:29:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
INVASIVE VISUAL RECORDING,disturbance,2019,Afternoon,2019-02-25 16:01:00,2019-02-25 16:40:00,GROCERY / SUPERMARKET,4530324001.0,30.3907522,-97.7387405,Adam,1,7
DISTURBANCE - OTHER,disturbance,2014,Evening,2014-06-22 17:11:00,2014-06-22 17:11:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
BURGLARY OF VEHICLE,theft,2012,Night,2012-06-19 21:00:00,2012-06-20 07:43:00,RESIDENCE / HOME,4910204092.0,30.4593391,-97.7713565,Adam,4,6
FAMILY DISTURBANCE,family,2018,Night,2018-04-25 04:11:00,2018-04-25 04:11:00,RESIDENCE / HOME,4530024221.0,30.1906024,-97.7846019,Frank,3,2
MONEY LAUNDERING,fraud,2019,Evening,2019-07-01 20:40:00,2019-07-01 20:40:00,AIR / BUS / TRAIN TERMINAL,4539800001.0,30.1946633,-97.666661,Airport,S,2
CRASH/CRIM NEG HOMICIDE,traffic,2008,Afternoon,2008-12-24 13:34:00,2008-12-24 13:34:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,,,,Edward,1,0
BURGLARY OF RESIDENCE,burglary,2013,Evening,2013-05-11 17:00:00,2013-05-11 21:35:00,RESIDENCE / HOME,4530335002.0,30.1987068,-97.8438377,David,7,8
TERRORISTIC THREAT,terrorism,2021,Night,2021-12-23 01:35:00,2021-12-23 01:35:00,BAR / NIGHTCLUB,4530020031.0,30.2192206,-97.7781233,David,3,3
THEFT BY SHOPLIFTING,theft,2006,Afternoon,2006-07-11 13:30:00,2006-07-11 14:32:00,GROCERY / SUPERMARKET,4530308002.0,30.3924653,-97.7486693,Adam,7,10
DISTURBANCE - OTHER,disturbance,2016,Afternoon,2016-10-19 12:12:00,2016-10-19 12:12:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021054.0,30.3169564,-97.7053727,Ida,5,4
THEFT BY SHOPLIFTING,theft,2016,Evening,2016-03-05 19:15:00,2016-03-05 22:43:00,OTHER / UNKNOWN,4530410002.0,30.3644157,-97.6894706,Edward,1,4
THEFT,theft,2014,Evening,2014-07-31 19:10:00,2014-07-31 19:10:00,RESIDENCE / HOME,4530024191.0,30.1954505,-97.7637023,Frank,5,2
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2003,Night,2003-07-18 04:15:00,2003-07-18 04:28:00,RESIDENCE / HOME,4530025004.0,30.4127915,-97.7501389,Adam,7,10
FAMILY DISTURBANCE,family,2014,Afternoon,2014-07-15 16:06:00,2014-07-15 16:06:00,RESIDENCE / HOME,4530407004.0,30.375428,-97.7141391,Edward,2,4
BURGLARY OF VEHICLE,theft,2003,Night,2003-10-09 22:00:00,2003-10-10 03:02:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530401003.0,30.3596238,-97.7099045,Edward,2,4
CRIMINAL TRESPASS,trespass,2010,Evening,2010-05-25 18:45:00,2010-05-25 21:27:00,RESIDENCE / HOME,4530432003.0,30.3519268,-97.7021453,Edward,1,4
THEFT,theft,2010,Afternoon,2010-07-05 12:08:00,2010-07-05 12:33:00,COMMERCIAL / OFFICE BUILDING,4530008011.0,30.2669322,-97.7014639,Charlie,2,3
INDECENT EXPOSURE,sexual,2009,Evening,2009-03-10 18:10:00,2009-03-10 18:15:00,RESIDENCE / HOME,4530006051.0,30.2968138,-97.748605,Baker,3,9
HARASSMENT,abuse,2012,Evening,2012-08-17 17:00:00,2012-08-20 09:16:00,COMMERCIAL / OFFICE BUILDING,,,,Frank,1,5
DWI,traffic,2009,Morning,2009-08-13 09:08:00,2009-08-13 09:08:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024372.0,30.1579505,-97.7956163,Frank,7,5
ASSAULT WITH INJURY,assault,2018,Evening,2018-01-27 17:28:00,2018-01-27 17:28:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530008022.0,30.274356,-97.7038305,Charlie,2,1
THEFT,theft,2004,Evening,2004-09-16 18:31:00,2004-09-16 18:31:00,DEPARTMENT / DISCOUNT STORE,4530403003.0,30.3412558,-97.6916723,Ida,2,4
CUSTODY ARREST TRAFFIC WARR,court,2003,Night,2003-03-20 22:05:00,2003-03-20 22:05:00,OTHER / UNKNOWN,4530006071.0,30.2858433,-97.7510816,Baker,2,10
BURGLARY OF VEHICLE,theft,2009,Evening,2009-04-25 20:15:00,2009-04-26 10:01:00,PARKING /DROP LOT/ GARAGE,4530023151.0,30.2345938,-97.7330258,Henry,2,3
BURGLARY OF VEHICLE,theft,2017,Evening,2017-07-16 19:00:00,2017-07-17 17:24:00,RESIDENCE / HOME,4530367004.0,30.2007407,-97.9014425,David,8,8
POSS CONTROLLED SUB/NARCOTIC,drugs,2004,Night,2004-02-01 00:30:00,2004-02-01 00:30:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009023.0,30.2568324,-97.7178294,Charlie,1,3
ASSAULT BY CONTACT FAM/DATING,assault,2021,Evening,2021-10-17 20:30:00,2021-10-17 21:07:00,PARKING /DROP LOT/ GARAGE,4530344002.0,30.4423856,-97.8305597,Adam,8,10
FAMILY DISTURBANCE,family,2013,Night,2013-06-22 22:14:00,2013-06-22 22:14:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024221.0,30.1906024,-97.7846019,Frank,4,2
TERRORISTIC THREAT,terrorism,2016,Night,2016-12-19 23:19:00,2016-12-19 23:19:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024191.0,30.1954505,-97.7637023,Frank,5,2
POSSESSION OF MARIJUANA,drugs,2017,Afternoon,2017-10-07 13:12:00,2017-10-07 13:12:00,PARK / PLAYGROUND,4530019113.0,30.2658389,-97.7751242,David,1,8
THEFT,theft,2017,Evening,2017-01-18 18:00:00,2017-01-19 15:55:00,HOTEL / MOTEL / ETC.,4530011032.0,30.2646001,-97.7396453,George,2,9
DWI,traffic,2005,Night,2005-07-09 01:00:00,2005-07-09 03:21:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530404002.0,30.361396,-97.736768,Baker,6,7
POSS OF DRUG PARAPHERNALIA,drugs,2005,Morning,2005-02-22 06:08:00,2005-02-22 09:08:00,AIR / BUS / TRAIN TERMINAL,4539800001.0,30.1946633,-97.666661,Airport,S,2
AGG ASSAULT FAM/DATE VIOLENCE,aggravated assault,2007,Evening,2007-12-03 20:50:00,2007-12-03 20:50:00,RESIDENCE / HOME,4530403001.0,30.3463938,-97.68552,Edward,3,4
CRIMINAL MISCHIEF,property,2006,Night,2006-10-07 21:38:00,2006-10-25 21:38:00,RESIDENCE / HOME,4530021061.0,30.3113948,-97.6890435,Ida,3,4
BURGLARY OF VEHICLE,theft,2015,Night,2015-09-07 23:30:00,2015-09-08 14:59:00,RESIDENCE / HOME,4530022132.0,30.2859358,-97.6420721,Charlie,6,1
GRAFFITI,nuisance,2019,Night,2019-01-10 21:00:00,2019-01-13 19:38:00,RESTAURANT,4530401001.0,30.3559507,-97.7126267,Edward,2,4
FAMILY DISTURBANCE/PARENTAL,family,2007,Evening,2007-07-14 17:49:00,2007-07-14 17:49:00,RESIDENCE / HOME,4530417001.0,30.3876304,-97.7031289,Edward,4,4
POSS OF ALCOHOL - AGE 17 TO 20,drugs,2003,Evening,2003-04-12 18:36:00,2003-04-12 18:36:00,FIELD / WOODS,4530409004.0,30.369921,-97.7015678,Edward,1,4
BURGLARY OF VEHICLE,theft,2013,Afternoon,2013-01-22 16:30:00,2013-01-23 07:32:00,RESIDENCE / HOME,4530021081.0,30.2942939,-97.6707605,Charlie,4,1
BURGLARY OF VEHICLE,theft,2020,Afternoon,2020-04-10 15:05:00,2020-04-10 16:05:00,PARKING /DROP LOT/ GARAGE,4530021082.0,30.3061369,-97.6639016,Charlie,4,1
DWI,traffic,2012,Night,2012-08-15 02:29:00,2012-08-15 02:29:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530404003.0,30.3709797,-97.7346218,Baker,6,7
THEFT BY SHOPLIFTING,theft,2015,Evening,2015-04-14 17:20:00,2015-04-14 17:20:00,GROCERY / SUPERMARKET,4530303001.0,30.2277107,-97.7961015,David,4,5
BURGLARY OF VEHICLE,theft,2024,Night,2024-08-18 23:00:00,2024-08-22 14:32:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530438001.0,30.3835303,-97.6554838,Edward,7,1
AUTO THEFT,theft,2019,Evening,2019-01-26 19:00:00,2019-01-27 12:29:00,PARKING /DROP LOT/ GARAGE,4530454002.0,30.4035607,-97.721309,Adam,2,7
DOC FIGHTING,disturbance,2024,Night,2024-05-31 21:26:00,2024-05-31 21:26:00,ARENA / STADIUM / FAIRGROUNDS / COLISEUM,4530011011.0,30.2696516,-97.7375527,George,1,9
FRAUD - OTHER,fraud,2017,Morning,2017-07-18 09:30:00,2017-07-18 12:39:00,RESIDENCE / HOME,4530023241.0,30.2357646,-97.7200114,Henry,3,3
AGG ASSAULT WITH MOTOR VEH,aggravated assault,2013,Evening,2013-11-18 20:00:00,2013-11-18 20:00:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530408003.0,30.3842914,-97.7110517,Edward,2,4
CRIMINAL MISCHIEF,property,2018,Evening,2018-03-24 17:00:00,2018-03-26 10:55:00,OTHER / UNKNOWN,4530013103.0,30.253134,-97.7633395,David,1,9
BURGLARY NON RESIDENCE,burglary,2019,Night,2019-07-06 02:26:00,2019-07-06 06:49:00,DEPARTMENT / DISCOUNT STORE,4530021093.0,30.2830113,-97.679436,Charlie,4,1
ASSAULT WITH INJURY,assault,2021,Afternoon,2021-04-26 13:51:00,2021-04-26 16:46:00,RESTAURANT,4530020041.0,30.232703,-97.7888007,David,4,5
BURGLARY OF VEHICLE,theft,2018,Evening,2018-10-18 18:50:00,2018-10-19 16:23:00,DEPARTMENT / DISCOUNT STORE,4530324001.0,30.3907522,-97.7387405,Adam,1,7
EVADING / FOOT,obstruction,2014,Evening,2014-05-26 20:30:00,2014-05-26 20:39:00,GROCERY / SUPERMARKET,4530012004.0,30.26744,-97.7539977,George,1,9
AUTO THEFT,theft,2021,Evening,2021-06-18 18:53:00,2021-06-18 18:53:00,PARKING /DROP LOT/ GARAGE,4530454002.0,30.4035607,-97.721309,Adam,2,7
BURGLARY OF RESIDENCE,burglary,2008,Morning,2008-10-26 11:05:00,2008-10-26 11:05:00,RESIDENCE / HOME,4530022222.0,30.2974782,-97.6292814,Charlie,7,1
THEFT FROM PERSON,theft,2019,Night,2019-04-06 01:30:00,2019-04-06 04:28:00,PARKING /DROP LOT/ GARAGE,4530403004.0,30.3533277,-97.6888401,Edward,3,4
WARRANT ARREST NON TRAFFIC,court,2018,Afternoon,2018-08-14 16:40:00,2018-08-14 16:40:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530454003.0,30.3859032,-97.7260439,Adam,1,7
WARRANT ARREST NON TRAFFIC,court,2011,Morning,2011-11-23 10:37:00,2011-11-23 10:37:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530010001.0,30.2579877,-97.7339922,Charlie,1,3
POSS CONTROLLED SUB/NARCOTIC,drugs,2003,Night,2003-12-08 22:15:00,2003-12-08 22:15:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009021.0,30.2609284,-97.7067363,Charlie,2,3
BURGLARY OF VEHICLE,theft,2006,Night,2006-11-21 03:00:00,2006-11-21 04:56:00,RESIDENCE / HOME,4530320006.0,30.2317993,-97.842002,David,6,8
